X	Y	Year_0	Year_1	Year_2	Year_3	Year_4	Year_5	Year_6	Year_7	Year_8	Year_9	Year_10
225	342	0	0	0	0	0	0	0	0	0	0	0
225	341	0	0	0	0	0	0	0	0	0	0	0
219	340	0	0	0	0	0	0	0	0	0	0	0
223	340	0	0	0	0	0	0	0	0	0	0	0
224	340	0	0	0	0	0	0	0	0	0	0	0
225	340	0	0	0	0	0	0	0	0	0	0	0
227	340	0	0	0	0	0	0	0	0	0	0	0
228	340	0	0	0	0	0	0	0	0	0	0	0
219	339	0	0	0	0	0	0	0	0	0	0	0
222	339	0	0	0	0	0	0	0	0	0	0	0
223	339	0	0	0	0	0	0	0	0	0	0	0
224	339	0	0	0	0	0	0	0	0	0	0	0
225	339	0	0	0	0	0	0	0	0	0	0	0
226	339	0	0	0	0	0	0	0	0	0	0	0
227	339	0	0	0	0	0	0	0	0	0	0	0
228	339	0	0	0	0	0	0	0	0	0	0	0
229	339	0	0	0	0	0	0	0	0	0	0	0
217	338	0	0	0	0	0	0	0	0	0	0	0
220	338	0	0	0	0	0	0	0	0.2	0.2	0.2	0.2
221	338	0	0	0	0	0	0	0	0	0	0	0
222	338	0	0	0	0	0	0	0	0	0	0	0
223	338	0	0	0	0	0	0	0	0	0	0	0
224	338	0	0	0	0	0	0	0	0	0	0	0
225	338	0	0	0	0	0	0	0	0	0	0	0
226	338	0	0	0	0	0	0	0	0	0	0	0
227	338	0	0	0	0	0	0	0	0	0	0	0
228	338	0	0	0	0	0	0	0	0	0	0	0
229	338	0	0	0	0	0	0	0	0	0	0	0
230	338	0	0	0	0	0	0	0	0	0	0	0
217	337	0	0	0	0	0	0	0	0	0	0	0
218	337	0	0	0	0	0	0	0	0	0	0	0
219	337	0	0	0	0	0	0	0	0	0	0	0
220	337	0	0	0	0	0	0	0	0	0	0	0
221	337	0	0	0	0	0	0	0	0	0	0	0
222	337	0	0	0	0	0	0	0	0	0	0	0
223	337	0	0	0	0	0	0	0	0	0	0	0
