Rep	Year	RepSeason	x	y	Species	NInd	NInd_stage1	NJuvs
0	0	0	215	331	0	2	2	1
0	0	0	301	325	0	2	2	1
0	0	0	308	325	0	2	2	1
0	0	0	292	323	0	2	2	1
0	0	0	260	321	0	2	2	0
0	0	0	276	321	0	2	2	0
0	0	0	289	320	0	2	2	0
0	0	0	291	320	0	2	2	0
0	0	0	280	319	0	2	2	1
0	0	0	281	319	0	2	2	1
0	0	0	288	319	0	2	2	2
0	0	0	289	319	0	2	2	0
0	0	0	294	319	0	2	2	0
0	0	0	295	319	0	2	2	2
0	0	0	281	318	0	2	2	2
0	0	0	282	317	0	2	2	0
0	0	0	283	317	0	2	2	2
0	0	0	284	317	0	2	2	0
0	0	0	285	317	0	2	2	0
0	0	0	286	317	0	2	2	0
0	0	0	287	317	0	2	2	3
0	0	0	288	317	0	2	2	0
0	0	0	259	315	0	2	2	0
0	0	0	287	315	0	2	2	2
0	0	0	288	315	0	2	2	0
0	0	0	293	315	0	2	2	1
0	0	0	296	315	0	2	2	0
0	0	0	299	315	0	2	2	2
0	0	0	330	315	0	2	2	0
0	0	0	280	314	0	2	2	3
0	0	0	285	314	0	2	2	2
0	0	0	280	313	0	2	2	0
0	0	0	318	313	0	2	2	0
0	0	0	284	312	0	2	2	0
0	0	0	288	312	0	2	2	0
0	0	0	294	312	0	2	2	0
0	0	0	280	311	0	2	2	2
0	0	0	296	311	0	2	2	0
0	0	0	318	311	0	2	2	2
0	0	0	259	310	0	2	2	0
0	0	0	280	310	0	2	2	0
0	0	0	283	310	0	2	2	0
0	0	0	292	310	0	2	2	0
0	0	0	393	310	0	2	2	1
0	0	0	280	309	0	2	2	0
0	0	0	282	309	0	2	2	2
0	0	0	287	309	0	2	2	1
0	0	0	288	309	0	2	2	0
0	0	0	289	309	0	2	2	1
0	0	0	290	309	0	2	2	0
0	0	0	291	309	0	2	2	2
0	0	0	280	308	0	2	2	1
0	0	0	282	308	0	2	2	1
0	0	0	287	308	0	2	2	0
0	0	0	291	308	0	2	2	1
0	0	0	292	308	0	2	2	2
0	0	0	294	308	0	2	2	0
0	0	0	281	307	0	2	2	0
0	0	0	286	307	0	2	2	2
0	0	0	287	307	0	2	2	0
0	0	0	290	307	0	2	2	4
0	0	0	266	306	0	2	2	2
0	0	0	285	306	0	2	2	1
0	0	0	290	306	0	2	2	0
0	0	0	292	306	0	2	2	1
0	0	0	313	306	0	2	2	1
0	0	0	258	305	0	2	2	1
0	0	0	284	305	0	2	2	1
0	0	0	289	305	0	2	2	1
0	0	0	272	304	0	2	2	1
0	0	0	282	304	0	2	2	1
0	0	0	283	304	0	2	2	2
0	0	0	294	304	0	2	2	1
0	0	0	301	304	0	2	2	0
0	0	0	306	304	0	2	2	1
0	0	0	258	303	0	2	2	2
0	0	0	264	303	0	2	2	0
0	0	0	285	303	0	2	2	0
0	0	0	294	303	0	2	2	2
0	0	0	252	302	0	2	2	1
0	0	0	253	302	0	2	2	2
0	0	0	254	302	0	2	2	0
0	0	0	256	302	0	2	2	0
0	0	0	258	302	0	2	2	2
0	0	0	269	302	0	2	2	2
0	0	0	279	302	0	2	2	0
0	0	0	286	302	0	2	2	2
