Rep	Year	RepSeason	NInds	NInd_stage1	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	460	460	209	230	0.0147644	224285	1.11929e+06	568174	973174
0	1	0	509	509	196	255	0.0163692	224285	1.11929e+06	568174	973174
0	2	0	542	542	208	275	0.0176531	224285	1.14929e+06	568174	973174
0	3	0	560	560	225	294	0.0188728	224285	1.14929e+06	568174	978174
0	4	0	588	588	209	307	0.0197073	224285	1.14929e+06	528174	978174
0	5	0	592	592	243	333	0.0213763	224285	1.14929e+06	528174	978174
0	6	0	628	628	229	345	0.0221466	224285	1.13429e+06	528174	978174
0	7	0	632	632	252	348	0.0223392	224285	1.13429e+06	528174	978174
0	8	0	656	656	250	359	0.0230453	224285	1.11929e+06	528174	978174
0	9	0	664	664	269	360	0.0231095	224285	1.11929e+06	528174	978174
0	10	0	692	692	0	370	0.0237514	224285	1.11929e+06	478174	978174
1	0	0	460	460	177	230	0.0147644	224285	1.11929e+06	568174	973174
1	1	0	472	472	184	243	0.0155989	224285	1.11929e+06	568174	978174
1	2	0	485	485	184	243	0.0155989	374285	1.11929e+06	553174	978174
1	3	0	516	516	211	261	0.0167544	309285	1.11929e+06	568174	978174
1	4	0	532	532	190	284	0.0182308	309285	1.11929e+06	568174	978174
1	5	0	535	535	211	288	0.0184876	309285	1.11929e+06	568174	978174
1	6	0	571	571	208	301	0.0193221	309285	1.11929e+06	568174	978174
1	7	0	584	584	232	310	0.0198999	299285	1.11929e+06	558174	978174
1	8	0	619	619	222	316	0.020285	299285	1.11929e+06	553174	978174
1	9	0	634	634	252	325	0.0208628	299285	1.11929e+06	473174	978174
1	10	0	642	642	0	353	0.0226602	299285	1.14429e+06	473174	978174
2	0	0	460	460	202	230	0.0147644	224285	1.11929e+06	568174	973174
2	1	0	503	503	191	251	0.0161125	224285	1.12929e+06	568174	973174
2	2	0	540	540	206	287	0.0184234	369285	1.12929e+06	568174	948174
2	3	0	543	543	198	298	0.0191295	369285	1.12929e+06	568174	963174
2	4	0	545	545	198	292	0.0187444	369285	1.11929e+06	568174	963174
2	5	0	565	565	214	292	0.0187444	369285	1.11929e+06	568174	953174
2	6	0	597	597	248	304	0.0195147	369285	1.11929e+06	568174	953174
2	7	0	610	610	257	317	0.0203492	369285	1.11929e+06	568174	983174
2	8	0	647	647	243	347	0.022275	369285	1.11929e+06	453174	983174
2	9	0	686	686	269	356	0.0228527	369285	1.11929e+06	453174	983174
2	10	0	687	687	0	393	0.0252279	369285	1.11929e+06	453174	983174
3	0	0	460	460	191	230	0.0147644	224285	1.11929e+06	568174	973174
3	1	0	469	469	181	242	0.0155347	224285	1.11929e+06	568174	973174
3	2	0	502	502	187	256	0.0164334	224285	1.11929e+06	563174	973174
3	3	0	506	506	181	264	0.016947	224285	1.11929e+06	563174	973174
3	4	0	515	515	183	265	0.0170112	224285	1.11929e+06	563174	973174
3	5	0	541	541	214	286	0.0183592	224285	1.13929e+06	558174	973174
3	6	0	555	555	194	312	0.0200282	224285	1.13929e+06	558174	973174
3	7	0	580	580	216	323	0.0207344	224285	1.13929e+06	498174	1.00817e+06
3	8	0	614	614	211	329	0.0211195	224285	1.13929e+06	498174	1.00817e+06
3	9	0	607	607	222	333	0.0213763	224285	1.13929e+06	498174	1.00817e+06
3	10	0	584	584	0	338	0.0216973	224285	1.13929e+06	518174	1.00817e+06
4	0	0	460	460	170	230	0.0147644	224285	1.11929e+06	568174	973174
4	1	0	466	466	168	234	0.0150212	224285	1.11929e+06	558174	973174
4	2	0	464	464	172	245	0.0157273	224285	1.11929e+06	543174	973174
4	3	0	468	468	180	258	0.0165618	224285	1.11929e+06	543174	973174
4	4	0	469	469	190	255	0.0163692	224285	1.11929e+06	523174	973174
4	5	0	504	504	163	267	0.0171396	379285	1.11929e+06	523174	968174
4	6	0	509	509	208	271	0.0173963	379285	1.11929e+06	523174	978174
4	7	0	549	549	201	294	0.0188728	369285	1.11929e+06	483174	978174
4	8	0	576	576	241	313	0.0200924	379285	1.11929e+06	483174	978174
4	9	0	607	607	268	323	0.0207344	374285	1.11929e+06	483174	978174
4	10	0	632	632	0	344	0.0220824	374285	1.11929e+06	483174	978174
